,S1H10,S1H11,S1H12,S1H1,S1H2,S1H3,S1H4,S1H5,S1H6,S1H7,S1H8,S1H9,S1,S1L1,S1L2,S1L3,S1L4,S1L5
S1H10,1.0,0.7832359999999999,0.317417,0.6672060000000001,0.715789,0.402086,0.42267200000000005,0.47537299999999993,0.5166609999999999,1.0,1.0,0.773826,0.5543859999999999,0.415789,0.29122800000000004,0.311048,0.35614,0.29473699999999997
S1H11,0.7832359999999999,1.0,0.46188599999999996,0.62754,0.562006,0.310949,0.33989,0.5472670000000001,0.6967810000000001,0.7832359999999999,0.7832359999999999,0.5956199999999999,0.43421499999999996,0.32703499999999996,0.22947399999999998,0.240146,0.280316,0.23359699999999997
S1H12,0.317417,0.46188599999999996,1.0,0.239923,0.202679,0.20438,0.188971,0.327998,0.440429,0.317417,0.317417,0.268613,0.164205,0.108554,0.07763660000000001,0.07445260000000001,0.09687389999999999,0.08107180000000001
S1H1,0.6672060000000001,0.62754,0.239923,1.0,0.923077,0.549804,0.5691729999999999,0.425087,0.396646,0.6672060000000001,0.6672060000000001,0.709874,0.45668000000000003,0.331984,0.22510100000000002,0.239234,0.276923,0.226721
S1H2,0.715789,0.562006,0.202679,0.923077,1.0,0.599336,0.612955,0.382836,0.35383000000000003,0.715789,0.715789,0.773826,0.494737,0.359649,0.24386,0.260787,0.3,0.245614
S1H3,0.402086,0.310949,0.20438,0.549804,0.599336,1.0,0.842975,0.542846,0.49708,0.402086,0.402086,0.529412,0.26363200000000003,0.20483600000000002,0.127074,0.143447,0.1688,0.130868
S1H4,0.42267200000000005,0.33989,0.188971,0.5691729999999999,0.612955,0.842975,1.0,0.572125,0.5301520000000001,0.42267200000000005,0.42267200000000005,0.452371,0.293927,0.22834000000000002,0.144939,0.16007000000000002,0.189474,0.14979800000000001
S1H5,0.47537299999999993,0.5472670000000001,0.327998,0.425087,0.382836,0.542846,0.572125,1.0,0.803383,0.47537299999999993,0.47537299999999993,0.420088,0.30596999999999996,0.238806,0.15746300000000002,0.170586,0.202985,0.162687
S1H6,0.5166609999999999,0.6967810000000001,0.440429,0.396646,0.35383000000000003,0.49708,0.5301520000000001,0.803383,1.0,0.5166609999999999,0.5166609999999999,0.38540100000000005,0.282377,0.22123,0.146341,0.157664,0.188251,0.151151
S1H7,1.0,0.7832359999999999,0.317417,0.6672060000000001,0.715789,0.402086,0.42267200000000005,0.47537299999999993,0.5166609999999999,1.0,1.0,0.773826,0.5543859999999999,0.415789,0.29122800000000004,0.311048,0.35614,0.29473699999999997
S1H8,1.0,0.7832359999999999,0.317417,0.6672060000000001,0.715789,0.402086,0.42267200000000005,0.47537299999999993,0.5166609999999999,1.0,1.0,0.773826,0.5543859999999999,0.415789,0.29122800000000004,0.311048,0.35614,0.29473699999999997
S1H9,0.773826,0.5956199999999999,0.268613,0.709874,0.773826,0.529412,0.452371,0.420088,0.38540100000000005,0.773826,0.773826,1.0,0.47795200000000004,0.35467,0.241821,0.261094,0.301565,0.244666
S1,0.5543859999999999,0.43421499999999996,0.164205,0.45668000000000003,0.494737,0.26363200000000003,0.293927,0.30596999999999996,0.282377,0.5543859999999999,0.5543859999999999,0.47795200000000004,1.0,0.621053,0.42193,0.44760600000000006,0.511404,0.420175
S1L1,0.415789,0.32703499999999996,0.108554,0.331984,0.359649,0.20483600000000002,0.22834000000000002,0.238806,0.22123,0.415789,0.415789,0.35467,0.621053,1.0,0.715789,0.773826,0.85,0.722807
S1L2,0.29122800000000004,0.22947399999999998,0.07763660000000001,0.22510100000000002,0.24386,0.127074,0.144939,0.15746300000000002,0.146341,0.29122800000000004,0.29122800000000004,0.241821,0.42193,0.715789,1.0,0.773826,0.85,0.716667
S1L3,0.311048,0.240146,0.07445260000000001,0.239234,0.260787,0.143447,0.16007000000000002,0.170586,0.157664,0.311048,0.311048,0.261094,0.44760600000000006,0.773826,0.773826,1.0,0.918919,0.773826
S1L4,0.35614,0.280316,0.09687389999999999,0.276923,0.3,0.1688,0.189474,0.202985,0.188251,0.35614,0.35614,0.301565,0.511404,0.85,0.85,0.918919,1.0,0.85
S1L5,0.29473699999999997,0.23359699999999997,0.08107180000000001,0.226721,0.245614,0.130868,0.14979800000000001,0.162687,0.151151,0.29473699999999997,0.29473699999999997,0.244666,0.420175,0.722807,0.716667,0.773826,0.85,1.0
